routeId,source,originHarbourId,destinationHarbourId,originHarbourName,originProvince,origin,destination,destinationProvince,shipClassId,shipClass
classic-3-2-1,ferizy.com,3,2,Bakauheni,Lampung,Bakauheni,Merak,Banten,1,Reguler
classic-3-2-2,ferizy.com,3,2,Bakauheni,Lampung,Bakauheni,Merak,Banten,2,Express
classic-4-5-1,ferizy.com,4,5,Gilimanuk,Bali,Gilimanuk,Ketapang,Jawa Timur,1,Reguler
classic-5-4-1,ferizy.com,5,4,Ketapang,Jawa Timur,Ketapang,Gilimanuk,Bali,1,Reguler
classic-2-3-1,ferizy.com,2,3,Merak,Banten,Merak,Bakauheni,Lampung,1,Reguler
classic-2-3-2,ferizy.com,2,3,Merak,Banten,Merak,Bakauheni,Lampung,2,Express
5488,trip.ferizy.com,175,,Aimere,Nusa Tenggara Timur,Aimere,Kupang,Nusa Tenggara Timur,,
5439,trip.ferizy.com,175,,Aimere,Nusa Tenggara Timur,Aimere,Waingapu,Nusa Tenggara Timur,,
5510,trip.ferizy.com,348,,Ajibata,Sumatera Utara,Ajibata,Ambarita,Sumatera Utara,,
5511,trip.ferizy.com,349,,Ambarita,Sumatera Utara,Ambarita,Ajibata,Sumatera Utara,,
203202,trip.ferizy.com,203,,Bajoe,Sulawesi Selatan,Bajoe,Kolaka,Sulawesi Tenggara,,
1516,trip.ferizy.com,14,,Balohan,Aceh,Balohan,Ulee Lheue,Aceh,,
58,trip.ferizy.com,106,,Bastiong,Maluku Utara,Bastiong,Babang,Maluku Utara,,
42,trip.ferizy.com,106,,Bastiong,Maluku Utara,Bastiong,Batang Dua,Maluku Utara,,
106521,trip.ferizy.com,106,,Bastiong,Maluku Utara,Bastiong,Bitung,Sulawesi Utara,,
106113,trip.ferizy.com,106,,Bastiong,Maluku Utara,Bastiong,Kayoa,Maluku Utara,,
46,trip.ferizy.com,106,,Bastiong,Maluku Utara,Bastiong,Makian,Maluku Utara,,
40,trip.ferizy.com,106,,Bastiong,Maluku Utara,Bastiong,Moti,Maluku Utara,,
33,trip.ferizy.com,106,,Bastiong,Maluku Utara,Bastiong,Rum,Maluku Utara,,
36,trip.ferizy.com,106,,Bastiong,Maluku Utara,Bastiong,Sidangole,Maluku Utara,,
38,trip.ferizy.com,106,,Bastiong,Maluku Utara,Bastiong,Sofifi,Maluku Utara,,
83313,trip.ferizy.com,83,,Batulicin,Kalimantan Selatan,Batulicin,Garongkong,Sulawesi Selatan,,
8384,trip.ferizy.com,83,,Batulicin,Kalimantan Selatan,Batulicin,Tanjung Serdang,Kalimantan Selatan,,
208211,trip.ferizy.com,208,,Baubau,Sulawesi Tenggara,Baubau,Waara,Sulawesi Tenggara,,
18,trip.ferizy.com,10,,Bawean,Jawa Timur,Bawean,Gresik,Jawa Timur,,
21,trip.ferizy.com,10,,Bawean,Jawa Timur,Bawean,Paciran,Jawa Timur,,
296284,trip.ferizy.com,296,,Biak,Papua,Biak,Manokwari,Papua Barat,,
296300,trip.ferizy.com,296,,Biak,Papua,Biak,Nabire,Papua Tengah,,
120,trip.ferizy.com,239,,Bira,Sulawesi Selatan,Bira,Pamatata,Sulawesi Selatan,,
91,trip.ferizy.com,105,,Bitung,Sulawesi Utara,Bitung,Melonguane,Sulawesi Utara,,
93,trip.ferizy.com,105,,Bitung,Sulawesi Utara,Bitung,Ternate,Maluku Utara,,
96,trip.ferizy.com,105,,Bitung,Sulawesi Utara,Bitung,Tobelo,Maluku Utara,,
429427,trip.ferizy.com,429,,Dwikora Pontianak,Kalimantan Barat,Dwikora Pontianak,Patimban,Jawa Barat,,
5486,trip.ferizy.com,88,,Galala,Maluku,Galala,Namlea,Maluku,,
31383,trip.ferizy.com,313,,Garongkong,Sulawesi Selatan,Garongkong,Batulicin,Kalimantan Selatan,,
228225,trip.ferizy.com,228,,Gorontalo,Gorontalo,Gorontalo,Ampana,Sulawesi Tengah,,
228234,trip.ferizy.com,228,,Gorontalo,Gorontalo,Gorontalo,Pagimana,Sulawesi Tengah,,
228229,trip.ferizy.com,228,,Gorontalo,Gorontalo,Gorontalo,Wakai,Sulawesi Tengah,,
19,trip.ferizy.com,11,,Gresik,Jawa Timur,Gresik,Bawean,Jawa Timur,,
4140,trip.ferizy.com,41,,Gunungsitoli,Sumatera Utara,Gunungsitoli,Sibolga,Sumatera Utara,,
5484,trip.ferizy.com,94,,Hunimua,Maluku,Hunimua,Waipirit,Maluku,,
5641002,trip.ferizy.com,564,,Jangkar,Jawa Timur,Jangkar,Kalianget,Jawa Timur,,
5641003,trip.ferizy.com,564,,Jangkar,Jawa Timur,Jangkar,Kangean,Jawa Timur,,
564565,trip.ferizy.com,564,,Jangkar,Jawa Timur,Jangkar,Lembar,Nusa Tenggara Barat,,
5641005,trip.ferizy.com,564,,Jangkar,Jawa Timur,Jangkar,Raas,Jawa Timur,,
5641004,trip.ferizy.com,564,,Jangkar,Jawa Timur,Jangkar,Sapudi,Jawa Timur,,
3002,trip.ferizy.com,3,,Jepara,Jawa Tengah,Jepara,Karimun Jawa,Jawa Tengah,,
5417,trip.ferizy.com,174,,Kalabahi,Nusa Tenggara Timur,Kalabahi,Adonara,Nusa Tenggara Timur,,
5471,trip.ferizy.com,174,,Kalabahi,Nusa Tenggara Timur,Kalabahi,Bakalang,Nusa Tenggara Timur,,
5438,trip.ferizy.com,174,,Kalabahi,Nusa Tenggara Timur,Kalabahi,Baranusa,Nusa Tenggara Timur,,
5409,trip.ferizy.com,174,,Kalabahi,Nusa Tenggara Timur,Kalabahi,Kupang,Nusa Tenggara Timur,,
5426,trip.ferizy.com,174,,Kalabahi,Nusa Tenggara Timur,Kalabahi,Larantuka,Nusa Tenggara Timur,,
5437,trip.ferizy.com,174,,Kalabahi,Nusa Tenggara Timur,Kalabahi,Lewoleba,Nusa Tenggara Timur,,
174191,trip.ferizy.com,174,,Kalabahi,Nusa Tenggara Timur,Kalabahi,Naikliu,Nusa Tenggara Timur,,
174531,trip.ferizy.com,174,,Kalabahi,Nusa Tenggara Timur,Kalabahi,Pura,Nusa Tenggara Timur,,
5436,trip.ferizy.com,174,,Kalabahi,Nusa Tenggara Timur,Kalabahi,Solor,Nusa Tenggara Timur,,
5418,trip.ferizy.com,174,,Kalabahi,Nusa Tenggara Timur,Kalabahi,Teluk Gurita,Nusa Tenggara Timur,,
441440,trip.ferizy.com,441,,Kalianget,Jawa Timur,Kalianget,Jangkar,Jawa Timur,,
441442,trip.ferizy.com,441,,Kalianget,Jawa Timur,Kalianget,Kangean,Jawa Timur,,
23,trip.ferizy.com,13,,Kamal,Jawa Timur,Kamal,Ujung,Jawa Timur,,
2003,trip.ferizy.com,2,,Karimun Jawa,Jawa Tengah,Karimun Jawa,Jepara,Jawa Tengah,,
29,trip.ferizy.com,195,,Kayangan,Nusa Tenggara Barat,Kayangan,Pototano,Nusa Tenggara Barat,,
217218,trip.ferizy.com,217,,Kendari,Sulawesi Tenggara,Kendari,Langara,Sulawesi Tenggara,,
202203,trip.ferizy.com,202,,Kolaka,Sulawesi Tenggara,Kolaka,Bajoe,Sulawesi Selatan,,
202204,trip.ferizy.com,202,,Kolaka,Sulawesi Tenggara,Kolaka,Siwa,Sulawesi Selatan,,
