harbourId,harbourName,province
175,Aimere,Nusa Tenggara Timur
348,Ajibata,Sumatera Utara
349,Ambarita,Sumatera Utara
203,Bajoe,Sulawesi Selatan
14,Balohan,Aceh
106,Bastiong,Maluku Utara
83,Batulicin,Kalimantan Selatan
208,Baubau,Sulawesi Tenggara
10,Bawean,Jawa Timur
296,Biak,Papua
239,Bira,Sulawesi Selatan
105,Bitung,Sulawesi Utara
429,Dwikora Pontianak,Kalimantan Barat
88,Galala,Maluku
313,Garongkong,Sulawesi Selatan
228,Gorontalo,Gorontalo
11,Gresik,Jawa Timur
41,Gunungsitoli,Sumatera Utara
94,Hunimua,Maluku
564,Jangkar,Jawa Timur
3,Jepara,Jawa Tengah
174,Kalabahi,Nusa Tenggara Timur
441,Kalianget,Jawa Timur
13,Kamal,Jawa Timur
2,Karimun Jawa,Jawa Tengah
195,Kayangan,Nusa Tenggara Barat
217,Kendari,Sulawesi Tenggara
202,Kolaka,Sulawesi Tenggara
171,Kupang,Nusa Tenggara Timur
199,Labuan Bajo,Nusa Tenggara Timur
218,Langara,Sulawesi Tenggara
173,Larantuka,Nusa Tenggara Timur
198,Lembar,Nusa Tenggara Barat
344,Mamuju,Sulawesi Barat
284,Manokwari,Papua Barat
89,Namlea,Maluku
9,Paciran,Jawa Timur
29,Padang,Sumatera Barat
196,Padang Bai,Bali
234,Pagimana,Sulawesi Tengah
244,Pamatata,Sulawesi Selatan
54,Penajam,Kalimantan Timur
194,Pototano,Nusa Tenggara Barat
566,Probolinggo,Jawa Timur
1023,Pulau Balang Lompo,Sulawesi Selatan
172,Rote,Nusa Tenggara Timur
131,Rum,Maluku Utara
200,Sape,Nusa Tenggara Barat
40,Sibolga,Sumatera Utara
107,Sidangole,Maluku Utara
479,Soekarno-Hatta (Makassar),Sulawesi Selatan
569,Tanjung Api Api,Sumatera Selatan
35,Tanjung Kalian,Bangka Belitung
541,Tanjung Perak,Jawa Timur
84,Tanjung Serdang,Kalimantan Selatan
26,Tanjung Uban,Kepulauan Riau
55,Tarakan,Kalimantan Utara
19,Telaga Punggur,Kepulauan Riau
31,Tua Pejat,Sumatera Barat
12,Ujung,Jawa Timur
15,Ulee Lheue,Aceh
201,Waikelo,Nusa Tenggara Timur
436,Waingapu,Nusa Tenggara Timur
177,Waingapu,Nusa Tenggara Timur
95,Waipirit,Maluku
