routeId,originHarbourId,originHarbourName,originProvince,origin,destination,destinationProvince
5488,175,Aimere,Nusa Tenggara Timur,Aimere,Kupang,Nusa Tenggara Timur
5439,175,Aimere,Nusa Tenggara Timur,Aimere,Waingapu,Nusa Tenggara Timur
5510,348,Ajibata,Sumatera Utara,Ajibata,Ambarita,Sumatera Utara
5511,349,Ambarita,Sumatera Utara,Ambarita,Ajibata,Sumatera Utara
203202,203,Bajoe,Sulawesi Selatan,Bajoe,Kolaka,Sulawesi Tenggara
1516,14,Balohan,Aceh,Balohan,Ulee Lheue,Aceh
58,106,Bastiong,Maluku Utara,Bastiong,Babang,Maluku Utara
42,106,Bastiong,Maluku Utara,Bastiong,Batang Dua,Maluku Utara
106521,106,Bastiong,Maluku Utara,Bastiong,Bitung,Sulawesi Utara
106113,106,Bastiong,Maluku Utara,Bastiong,Kayoa,Maluku Utara
46,106,Bastiong,Maluku Utara,Bastiong,Makian,Maluku Utara
40,106,Bastiong,Maluku Utara,Bastiong,Moti,Maluku Utara
33,106,Bastiong,Maluku Utara,Bastiong,Rum,Maluku Utara
36,106,Bastiong,Maluku Utara,Bastiong,Sidangole,Maluku Utara
38,106,Bastiong,Maluku Utara,Bastiong,Sofifi,Maluku Utara
83313,83,Batulicin,Kalimantan Selatan,Batulicin,Garongkong,Sulawesi Selatan
8384,83,Batulicin,Kalimantan Selatan,Batulicin,Tanjung Serdang,Kalimantan Selatan
208211,208,Baubau,Sulawesi Tenggara,Baubau,Waara,Sulawesi Tenggara
18,10,Bawean,Jawa Timur,Bawean,Gresik,Jawa Timur
21,10,Bawean,Jawa Timur,Bawean,Paciran,Jawa Timur
296284,296,Biak,Papua,Biak,Manokwari,Papua Barat
296300,296,Biak,Papua,Biak,Nabire,Papua Tengah
120,239,Bira,Sulawesi Selatan,Bira,Pamatata,Sulawesi Selatan
91,105,Bitung,Sulawesi Utara,Bitung,Melonguane,Sulawesi Utara
93,105,Bitung,Sulawesi Utara,Bitung,Ternate,Maluku Utara
96,105,Bitung,Sulawesi Utara,Bitung,Tobelo,Maluku Utara
429427,429,Dwikora Pontianak,Kalimantan Barat,Dwikora Pontianak,Patimban,Jawa Barat
5486,88,Galala,Maluku,Galala,Namlea,Maluku
31383,313,Garongkong,Sulawesi Selatan,Garongkong,Batulicin,Kalimantan Selatan
228225,228,Gorontalo,Gorontalo,Gorontalo,Ampana,Sulawesi Tengah
228234,228,Gorontalo,Gorontalo,Gorontalo,Pagimana,Sulawesi Tengah
228229,228,Gorontalo,Gorontalo,Gorontalo,Wakai,Sulawesi Tengah
19,11,Gresik,Jawa Timur,Gresik,Bawean,Jawa Timur
4140,41,Gunungsitoli,Sumatera Utara,Gunungsitoli,Sibolga,Sumatera Utara
5484,94,Hunimua,Maluku,Hunimua,Waipirit,Maluku
5641002,564,Jangkar,Jawa Timur,Jangkar,Kalianget,Jawa Timur
5641003,564,Jangkar,Jawa Timur,Jangkar,Kangean,Jawa Timur
564565,564,Jangkar,Jawa Timur,Jangkar,Lembar,Nusa Tenggara Barat
5641005,564,Jangkar,Jawa Timur,Jangkar,Raas,Jawa Timur
5641004,564,Jangkar,Jawa Timur,Jangkar,Sapudi,Jawa Timur
3002,3,Jepara,Jawa Tengah,Jepara,Karimun Jawa,Jawa Tengah
5417,174,Kalabahi,Nusa Tenggara Timur,Kalabahi,Adonara,Nusa Tenggara Timur
5471,174,Kalabahi,Nusa Tenggara Timur,Kalabahi,Bakalang,Nusa Tenggara Timur
5438,174,Kalabahi,Nusa Tenggara Timur,Kalabahi,Baranusa,Nusa Tenggara Timur
5409,174,Kalabahi,Nusa Tenggara Timur,Kalabahi,Kupang,Nusa Tenggara Timur
5426,174,Kalabahi,Nusa Tenggara Timur,Kalabahi,Larantuka,Nusa Tenggara Timur
5437,174,Kalabahi,Nusa Tenggara Timur,Kalabahi,Lewoleba,Nusa Tenggara Timur
174191,174,Kalabahi,Nusa Tenggara Timur,Kalabahi,Naikliu,Nusa Tenggara Timur
174531,174,Kalabahi,Nusa Tenggara Timur,Kalabahi,Pura,Nusa Tenggara Timur
5436,174,Kalabahi,Nusa Tenggara Timur,Kalabahi,Solor,Nusa Tenggara Timur
