origin,destination,shipClass,vehicleClass,departDate,departTime,kuota,fareAmount,totalFare,currency,sourceFile
Merak,Bakauheni,Reguler,GOLONGAN I,2026-08-20,11:00:00-12:00:00,833,26500,26500,IDR,fare_2_3_1_vc4_2026-08-20.json
Merak,Bakauheni,Reguler,GOLONGAN II,2026-08-20,11:00:00-12:00:00,833,62100,62100,IDR,fare_2_3_1_vc7_2026-08-20.json
Merak,Bakauheni,Reguler,GOLONGAN III,2026-08-20,11:00:00-12:00:00,833,133000,133000,IDR,fare_2_3_1_vc8_2026-08-20.json
Merak,Bakauheni,Reguler,GOLONGAN IVA,2026-08-20,11:00:00-12:00:00,833,481800,481800,IDR,fare_2_3_1_vc9_2026-08-20.json
Merak,Bakauheni,Reguler,GOLONGAN IVB,2026-08-20,11:00:00-12:00:00,832,447800,447800,IDR,fare_2_3_1_vc10_2026-08-20.json
Merak,Bakauheni,Reguler,GOLONGAN VA,2026-08-20,11:00:00-12:00:00,832,963800,963800,IDR,fare_2_3_1_vc11_2026-08-20.json
Merak,Bakauheni,Reguler,GOLONGAN VB,2026-08-20,11:00:00-12:00:00,832,835300,835300,IDR,fare_2_3_1_vc12_2026-08-20.json
Merak,Bakauheni,Reguler,GOLONGAN VIA,2026-08-20,11:00:00-12:00:00,832,1594800,1594800,IDR,fare_2_3_1_vc13_2026-08-20.json
Merak,Bakauheni,Reguler,GOLONGAN VIB,2026-08-20,11:00:00-12:00:00,831,1285200,1285200,IDR,fare_2_3_1_vc14_2026-08-20.json
Merak,Bakauheni,Reguler,GOLONGAN VII,2026-08-20,11:00:00-12:00:00,831,1860400,1860400,IDR,fare_2_3_1_vc15_2026-08-20.json
Merak,Bakauheni,Reguler,GOLONGAN VIII,2026-08-20,11:00:00-12:00:00,831,2452400,2452400,IDR,fare_2_3_1_vc16_2026-08-20.json
Merak,Bakauheni,Reguler,GOLONGAN IX,2026-08-20,11:00:00-12:00:00,831,3755000,3755000,IDR,fare_2_3_1_vc17_2026-08-20.json
Merak,Bakauheni,Express,GOLONGAN I,2026-08-20,11:30:00-11:30:00,279,85000,85000,IDR,fare_2_3_2_vc4_2026-08-20.json
Merak,Bakauheni,Express,GOLONGAN II,2026-08-20,11:30:00-11:30:00,33,129677,129677,IDR,fare_2_3_2_vc7_2026-08-20.json
Merak,Bakauheni,Express,GOLONGAN III,2026-08-20,11:30:00-11:30:00,10,187853,187853,IDR,fare_2_3_2_vc8_2026-08-20.json
Merak,Bakauheni,Express,GOLONGAN IVA,2026-08-20,11:30:00-11:30:00,279,749128,749128,IDR,fare_2_3_2_vc9_2026-08-20.json
Merak,Bakauheni,Express,GOLONGAN IVB,2026-08-20,11:30:00-11:30:00,279,491800,491800,IDR,fare_2_3_2_vc10_2026-08-20.json
