route,ship_class,service,vehicle_class,vehicle_class_name,depart_date,depart_time,available_quota,sample_total,currency,status,fare_count,sample_quota
2 → 3,SC1,Kendaraan,VC4,GOLONGAN I,2026-08-20,11:00:00-12:00:00,833,26500,IDR,OK,1,833
2 → 3,SC1,Kendaraan,VC7,GOLONGAN II,2026-08-20,11:00:00-12:00:00,833,62100,IDR,OK,1,833
2 → 3,SC1,Kendaraan,VC8,GOLONGAN III,2026-08-20,11:00:00-12:00:00,833,133000,IDR,OK,1,833
2 → 3,SC1,Kendaraan,VC9,GOLONGAN IVA,2026-08-20,11:00:00-12:00:00,833,481800,IDR,OK,1,833
2 → 3,SC1,Kendaraan,VC10,GOLONGAN IVB,2026-08-20,11:00:00-12:00:00,832,447800,IDR,OK,1,832
2 → 3,SC1,Kendaraan,VC11,GOLONGAN VA,2026-08-20,11:00:00-12:00:00,832,963800,IDR,OK,1,832
2 → 3,SC1,Kendaraan,VC12,GOLONGAN VB,2026-08-20,11:00:00-12:00:00,832,835300,IDR,OK,1,832
2 → 3,SC1,Kendaraan,VC13,GOLONGAN VIA,2026-08-20,11:00:00-12:00:00,832,1594800,IDR,OK,1,832
2 → 3,SC1,Kendaraan,VC14,GOLONGAN VIB,2026-08-20,11:00:00-12:00:00,831,1285200,IDR,OK,1,831
2 → 3,SC1,Kendaraan,VC15,GOLONGAN VII,2026-08-20,11:00:00-12:00:00,831,1860400,IDR,OK,1,831
2 → 3,SC1,Kendaraan,VC16,GOLONGAN VIII,2026-08-20,11:00:00-12:00:00,831,2452400,IDR,OK,1,831
2 → 3,SC1,Kendaraan,VC17,GOLONGAN IX,2026-08-20,11:00:00-12:00:00,831,3755000,IDR,OK,1,831
2 → 3,SC1,PejalanKaki,VC4,GOLONGAN I,2026-08-20,,,,IDR,empty,0,
2 → 3,SC1,PejalanKaki,VC7,GOLONGAN II,2026-08-20,,,,IDR,empty,0,
2 → 3,SC1,PejalanKaki,VC8,GOLONGAN III,2026-08-20,,,,IDR,empty,0,
2 → 3,SC1,PejalanKaki,VC9,GOLONGAN IVA,2026-08-20,,,,IDR,empty,0,
2 → 3,SC1,PejalanKaki,VC10,GOLONGAN IVB,2026-08-20,,,,IDR,empty,0,
2 → 3,SC1,PejalanKaki,VC11,GOLONGAN VA,2026-08-20,,,,IDR,empty,0,
2 → 3,SC1,PejalanKaki,VC12,GOLONGAN VB,2026-08-20,,,,IDR,empty,0,
2 → 3,SC1,PejalanKaki,VC13,GOLONGAN VIA,2026-08-20,,,,IDR,empty,0,
2 → 3,SC1,PejalanKaki,VC14,GOLONGAN VIB,2026-08-20,,,,IDR,empty,0,
2 → 3,SC1,PejalanKaki,VC15,GOLONGAN VII,2026-08-20,,,,IDR,empty,0,
2 → 3,SC1,PejalanKaki,VC16,GOLONGAN VIII,2026-08-20,,,,IDR,empty,0,
2 → 3,SC1,PejalanKaki,VC17,GOLONGAN IX,2026-08-20,,,,IDR,empty,0,
2 → 3,SC2,Kendaraan,VC4,GOLONGAN I,2026-08-20,11:30:00-11:30:00,279,85000,IDR,OK,1,279
2 → 3,SC2,Kendaraan,VC7,GOLONGAN II,2026-08-20,11:30:00-11:30:00,33,129677,IDR,OK,1,33
2 → 3,SC2,Kendaraan,VC8,GOLONGAN III,2026-08-20,11:30:00-11:30:00,10,187853,IDR,OK,1,10
2 → 3,SC2,Kendaraan,VC9,GOLONGAN IVA,2026-08-20,11:30:00-11:30:00,279,749128,IDR,OK,1,279
2 → 3,SC2,Kendaraan,VC10,GOLONGAN IVB,2026-08-20,11:30:00-11:30:00,279,491800,IDR,OK,1,279
2 → 3,SC2,Kendaraan,VC11,GOLONGAN VA,2026-08-20,11:30:00-11:30:00,279,1225928,IDR,OK,1,279
2 → 3,SC2,Kendaraan,VC12,GOLONGAN VB,2026-08-20,11:30:00-11:30:00,279,904923,IDR,OK,1,279
2 → 3,SC2,Kendaraan,VC13,GOLONGAN VIA,2026-08-20,11:30:00-11:30:00,279,2015985,IDR,OK,1,279
2 → 3,SC2,Kendaraan,VC14,GOLONGAN VIB,2026-08-20,11:30:00-11:30:00,279,1366620,IDR,OK,1,279
2 → 3,SC2,Kendaraan,VC15,GOLONGAN VII,2026-08-20,11:30:00-11:30:00,279,1975580,IDR,OK,1,279
2 → 3,SC2,Kendaraan,VC16,GOLONGAN VIII,2026-08-20,11:30:00-11:30:00,279,2619845,IDR,OK,1,279
2 → 3,SC2,Kendaraan,VC17,GOLONGAN IX,2026-08-20,11:30:00-11:30:00,278,3998920,IDR,OK,1,278
