harbourId,harbourName,province,source
175,Aimere,Nusa Tenggara Timur,trip.ferizy.com
348,Ajibata,Sumatera Utara,trip.ferizy.com
349,Ambarita,Sumatera Utara,trip.ferizy.com
203,Bajoe,Sulawesi Selatan,trip.ferizy.com
classic-3,Bakauheni,Lampung,ferizy.com
14,Balohan,Aceh,trip.ferizy.com
106,Bastiong,Maluku Utara,trip.ferizy.com
83,Batulicin,Kalimantan Selatan,trip.ferizy.com
208,Baubau,Sulawesi Tenggara,trip.ferizy.com
10,Bawean,Jawa Timur,trip.ferizy.com
296,Biak,Papua,trip.ferizy.com
239,Bira,Sulawesi Selatan,trip.ferizy.com
105,Bitung,Sulawesi Utara,trip.ferizy.com
429,Dwikora Pontianak,Kalimantan Barat,trip.ferizy.com
88,Galala,Maluku,trip.ferizy.com
313,Garongkong,Sulawesi Selatan,trip.ferizy.com
classic-4,Gilimanuk,Bali,ferizy.com
228,Gorontalo,Gorontalo,trip.ferizy.com
11,Gresik,Jawa Timur,trip.ferizy.com
41,Gunungsitoli,Sumatera Utara,trip.ferizy.com
94,Hunimua,Maluku,trip.ferizy.com
564,Jangkar,Jawa Timur,trip.ferizy.com
3,Jepara,Jawa Tengah,trip.ferizy.com
174,Kalabahi,Nusa Tenggara Timur,trip.ferizy.com
441,Kalianget,Jawa Timur,trip.ferizy.com
13,Kamal,Jawa Timur,trip.ferizy.com
2,Karimun Jawa,Jawa Tengah,trip.ferizy.com
195,Kayangan,Nusa Tenggara Barat,trip.ferizy.com
217,Kendari,Sulawesi Tenggara,trip.ferizy.com
classic-5,Ketapang,Jawa Timur,ferizy.com
202,Kolaka,Sulawesi Tenggara,trip.ferizy.com
171,Kupang,Nusa Tenggara Timur,trip.ferizy.com
199,Labuan Bajo,Nusa Tenggara Timur,trip.ferizy.com
218,Langara,Sulawesi Tenggara,trip.ferizy.com
173,Larantuka,Nusa Tenggara Timur,trip.ferizy.com
198,Lembar,Nusa Tenggara Barat,trip.ferizy.com
344,Mamuju,Sulawesi Barat,trip.ferizy.com
284,Manokwari,Papua Barat,trip.ferizy.com
classic-2,Merak,Banten,ferizy.com
89,Namlea,Maluku,trip.ferizy.com
9,Paciran,Jawa Timur,trip.ferizy.com
29,Padang,Sumatera Barat,trip.ferizy.com
196,Padang Bai,Bali,trip.ferizy.com
234,Pagimana,Sulawesi Tengah,trip.ferizy.com
244,Pamatata,Sulawesi Selatan,trip.ferizy.com
54,Penajam,Kalimantan Timur,trip.ferizy.com
194,Pototano,Nusa Tenggara Barat,trip.ferizy.com
566,Probolinggo,Jawa Timur,trip.ferizy.com
1023,Pulau Balang Lompo,Sulawesi Selatan,trip.ferizy.com
172,Rote,Nusa Tenggara Timur,trip.ferizy.com
131,Rum,Maluku Utara,trip.ferizy.com
200,Sape,Nusa Tenggara Barat,trip.ferizy.com
40,Sibolga,Sumatera Utara,trip.ferizy.com
107,Sidangole,Maluku Utara,trip.ferizy.com
479,Soekarno-Hatta (Makassar),Sulawesi Selatan,trip.ferizy.com
569,Tanjung Api Api,Sumatera Selatan,trip.ferizy.com
35,Tanjung Kalian,Bangka Belitung,trip.ferizy.com
541,Tanjung Perak,Jawa Timur,trip.ferizy.com
84,Tanjung Serdang,Kalimantan Selatan,trip.ferizy.com
26,Tanjung Uban,Kepulauan Riau,trip.ferizy.com
55,Tarakan,Kalimantan Utara,trip.ferizy.com
19,Telaga Punggur,Kepulauan Riau,trip.ferizy.com
31,Tua Pejat,Sumatera Barat,trip.ferizy.com
12,Ujung,Jawa Timur,trip.ferizy.com
15,Ulee Lheue,Aceh,trip.ferizy.com
201,Waikelo,Nusa Tenggara Timur,trip.ferizy.com
436,Waingapu,Nusa Tenggara Timur,trip.ferizy.com
177,Waingapu,Nusa Tenggara Timur,trip.ferizy.com
95,Waipirit,Maluku,trip.ferizy.com
