routeId,origin,destination,shipClass,source,originHarbourId,destinationProvince
classic-3-2-2,Bakauheni,Merak,Express,ferizy.com,classic-3,Banten
classic-3-2-1,Bakauheni,Merak,Reguler,ferizy.com,classic-3,Banten
classic-4-5-1,Gilimanuk,Ketapang,Reguler,ferizy.com,classic-4,Jawa Timur
classic-5-4-1,Ketapang,Gilimanuk,Reguler,ferizy.com,classic-5,Bali
classic-2-3-2,Merak,Bakauheni,Express,ferizy.com,classic-2,Lampung
classic-2-3-1,Merak,Bakauheni,Reguler,ferizy.com,classic-2,Lampung
5488,Aimere,Kupang,,trip.ferizy.com,175,Nusa Tenggara Timur
5439,Aimere,Waingapu,,trip.ferizy.com,175,Nusa Tenggara Timur
5510,Ajibata,Ambarita,,trip.ferizy.com,348,Sumatera Utara
5511,Ambarita,Ajibata,,trip.ferizy.com,349,Sumatera Utara
203202,Bajoe,Kolaka,,trip.ferizy.com,203,Sulawesi Tenggara
1516,Balohan,Ulee Lheue,,trip.ferizy.com,14,Aceh
58,Bastiong,Babang,,trip.ferizy.com,106,Maluku Utara
42,Bastiong,Batang Dua,,trip.ferizy.com,106,Maluku Utara
106521,Bastiong,Bitung,,trip.ferizy.com,106,Sulawesi Utara
106113,Bastiong,Kayoa,,trip.ferizy.com,106,Maluku Utara
46,Bastiong,Makian,,trip.ferizy.com,106,Maluku Utara
40,Bastiong,Moti,,trip.ferizy.com,106,Maluku Utara
33,Bastiong,Rum,,trip.ferizy.com,106,Maluku Utara
36,Bastiong,Sidangole,,trip.ferizy.com,106,Maluku Utara
38,Bastiong,Sofifi,,trip.ferizy.com,106,Maluku Utara
83313,Batulicin,Garongkong,,trip.ferizy.com,83,Sulawesi Selatan
8384,Batulicin,Tanjung Serdang,,trip.ferizy.com,83,Kalimantan Selatan
208211,Baubau,Waara,,trip.ferizy.com,208,Sulawesi Tenggara
18,Bawean,Gresik,,trip.ferizy.com,10,Jawa Timur
21,Bawean,Paciran,,trip.ferizy.com,10,Jawa Timur
296284,Biak,Manokwari,,trip.ferizy.com,296,Papua Barat
296300,Biak,Nabire,,trip.ferizy.com,296,Papua Tengah
120,Bira,Pamatata,,trip.ferizy.com,239,Sulawesi Selatan
91,Bitung,Melonguane,,trip.ferizy.com,105,Sulawesi Utara
93,Bitung,Ternate,,trip.ferizy.com,105,Maluku Utara
96,Bitung,Tobelo,,trip.ferizy.com,105,Maluku Utara
429427,Dwikora Pontianak,Patimban,,trip.ferizy.com,429,Jawa Barat
5486,Galala,Namlea,,trip.ferizy.com,88,Maluku
31383,Garongkong,Batulicin,,trip.ferizy.com,313,Kalimantan Selatan
228225,Gorontalo,Ampana,,trip.ferizy.com,228,Sulawesi Tengah
228234,Gorontalo,Pagimana,,trip.ferizy.com,228,Sulawesi Tengah
228229,Gorontalo,Wakai,,trip.ferizy.com,228,Sulawesi Tengah
19,Gresik,Bawean,,trip.ferizy.com,11,Jawa Timur
4140,Gunungsitoli,Sibolga,,trip.ferizy.com,41,Sumatera Utara
5484,Hunimua,Waipirit,,trip.ferizy.com,94,Maluku
